Algoritmo,Tamanho,Tipo,Tempo(s),Comparacoes,Trocas
Bubble Sort,1000,Aleatorio,0.001,497289,261663
Bubble Sort,1000,QuaseOrdenado,0,491625,32494
Bubble Sort,1000,Inverso,0.002,499500,499500
Bubble Sort,10000,Aleatorio,0.2,49990995,25188468
Bubble Sort,10000,QuaseOrdenado,0.078,49985130,3133858
Bubble Sort,10000,Inverso,0.238,49995000,49995000
Bubble Sort,100000,Aleatorio,22.2,4999838372,2503355199
Bubble Sort,100000,QuaseOrdenado,8.03,4998620735,308379704
Bubble Sort,100000,Inverso,23.909,4999950000,4999950000
Insertion Sort,1000,Aleatorio,0,258376,257386
Insertion Sort,1000,QuaseOrdenado,0,27907,26908
Insertion Sort,1000,Inverso,0,499500,499500
Insertion Sort,10000,Aleatorio,0.04,24984970,24974980
Insertion Sort,10000,QuaseOrdenado,0.004,3114429,3104430
Insertion Sort,10000,Inverso,0.073,49995000,49995000
Insertion Sort,100000,Aleatorio,3.621,2492263700,2492163709
Insertion Sort,100000,QuaseOrdenado,0.444,307125603,307025604
Insertion Sort,100000,Inverso,7.378,4999950000,4999950000
Selection Sort,1000,Aleatorio,0.001,499500,995
Selection Sort,1000,QuaseOrdenado,0.001,499500,50
Selection Sort,1000,Inverso,0.001,499500,500
Selection Sort,10000,Aleatorio,0.107,49995000,9994
Selection Sort,10000,QuaseOrdenado,0.105,49995000,500
Selection Sort,10000,Inverso,0.104,49995000,5000
Selection Sort,100000,Aleatorio,10.566,4999950000,99984
Selection Sort,100000,QuaseOrdenado,10.562,4999950000,5000
Selection Sort,100000,Inverso,10.544,4999950000,50000
Merge Sort,1000,Aleatorio,0,8705,9976
Merge Sort,1000,QuaseOrdenado,0,7673,9976
Merge Sort,1000,Inverso,0,4932,9976
Merge Sort,10000,Aleatorio,0,120447,133616
Merge Sort,10000,QuaseOrdenado,0,111715,133616
Merge Sort,10000,Inverso,0,64608,133616
Merge Sort,100000,Aleatorio,0.014,1536019,1668928
Merge Sort,100000,QuaseOrdenado,0.006,1449031,1668928
Merge Sort,100000,Inverso,0.006,815024,1668928
Quick Sort,1000,Aleatorio,0,9802,5874
Quick Sort,1000,QuaseOrdenado,0,11449,4582
Quick Sort,1000,Inverso,0,14378,9464
Quick Sort,10000,Aleatorio,0,133109,69626
Quick Sort,10000,QuaseOrdenado,0,177890,62268
Quick Sort,10000,Inverso,0,225614,144252
Quick Sort,100000,Aleatorio,0.006,2012129,872345
Quick Sort,100000,QuaseOrdenado,0.004,2397689,786241
Quick Sort,100000,Inverso,0.004,3087334,1943196
